date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-12,0,0,0,0,0,False,1,0,1,0,57,False,0,0,4,68,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,21,21,0,0,False,0,0,0,0,33,False,17,0,17,0,0,False,0,0,0,0,0,False,0,21,0,0,0,False,0,0,0,21,0,False,21,0,0,0,0,False,0,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,21,0,0,0,False,0,16,0,0,0,False,0,0,0,0,0,False,0,40,0,0,False
2007-01-13,0,0,0,0,0,False,0,0,2,0,56,False,0,0,6,73,0,False,0,0,51,0,0,False,0,0,0,0,0,False,0,85,0,0,0,False,0,0,0,0,31,False,0,27,54,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,39,0,0,0,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-14,0,0,0,0,0,False,0,0,2,0,60,False,0,0,0,57,6,False,0,0,0,0,0,False,0,0,0,0,35,False,0,35,0,0,0,False,0,0,0,0,24,False,0,28,56,0,0,False,0,0,35,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,41,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,27,27,0,27,False,0,0,0,0,0,False,0,20,0,0,False
2007-01-15,25,0,0,0,0,False,0,0,2,0,66,False,4,0,0,59,0,False,25,0,25,0,0,False,25,0,0,0,0,False,25,49,49,0,0,False,11,0,0,0,28,False,0,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,5,0,0,50,0,False,25,0,37,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,19,19,0,0,19,False,25,0,25,0,0,False,4,22,0,0,False
2007-01-16,0,0,0,19,0,False,1,0,4,0,58,False,0,0,3,59,0,False,0,0,0,0,0,False,0,0,0,19,19,False,0,0,0,0,0,False,0,0,0,0,22,False,15,0,45,0,0,False,0,0,0,0,19,False,0,19,0,0,0,False,0,0,0,19,0,False,19,0,0,0,0,False,0,0,0,50,0,False,0,0,19,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,44,0,0,15,False,0,0,0,0,0,False,0,34,0,0,False
2007-01-17,19,0,0,0,0,False,1,0,1,0,60,False,3,0,5,83,0,False,19,0,0,0,0,False,19,0,0,0,19,False,19,38,0,0,0,False,9,0,0,0,26,False,15,0,15,15,0,False,19,0,19,0,38,False,19,0,0,0,0,False,19,0,0,0,0,False,19,0,0,0,0,False,4,0,0,37,0,False,19,0,0,0,0,False,19,0,0,0,0,False,19,0,0,19,0,False,15,51,0,0,15,False,19,0,19,0,0,False,3,26,0,3,False
2007-01-18,19,0,0,0,0,False,1,0,1,0,61,False,3,0,0,54,0,False,19,0,19,0,0,False,19,0,20,0,20,False,19,58,0,0,0,False,9,0,0,0,22,False,15,15,46,15,0,False,19,0,19,19,19,False,19,0,0,0,0,False,19,0,19,0,0,False,19,0,0,0,0,False,4,0,0,24,0,False,19,0,0,0,0,False,19,0,0,0,0,False,19,0,0,19,0,False,15,45,0,0,15,False,19,0,0,0,0,False,3,20,0,0,False
2007-01-19,0,0,0,20,0,False,3,0,1,0,58,False,0,3,0,64,0,False,0,0,20,0,0,False,0,0,0,0,20,False,0,30,0,0,0,False,0,0,0,0,28,False,32,16,24,16,0,False,0,0,0,0,30,False,0,0,0,0,0,False,0,0,0,0,0,False,41,0,0,0,0,False,0,0,0,39,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,54,0,0,15,False,0,0,0,0,0,False,0,29,0,0,False
2007-01-20,0,0,0,0,0,False,0,0,2,0,66,False,0,0,6,88,0,False,0,0,0,0,0,False,0,0,0,33,0,False,0,33,0,0,0,False,0,0,0,0,23,False,0,52,26,0,0,False,0,0,0,0,33,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,51,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,25,0,0,25,False,0,0,0,0,0,False,0,5,0,0,False
2007-01-21,0,0,0,0,0,False,0,0,0,0,55,False,0,0,11,77,0,False,0,0,32,0,0,False,0,0,0,32,0,False,0,32,32,0,0,False,0,0,0,0,44,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,32,0,0,False,0,0,0,0,0,False,0,0,0,43,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,37,0,0,25,False,0,0,0,0,0,False,0,72,0,0,False
