date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2007-01-11,0,0,0,0,0,False,0,0,0,0,0,False,0,0,15,0,0,False,0,36,0,0,8,False,0,0,0,0,0,False,0,0,0,0,0,False,0,8,58,10,2,False,0,0,0,0,44,False,0,0,0,24,24,False,0,0,0,0,0,False,0,0,32,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,55,0,0,False,0,9,0,0,4,False,0,0,0,0,0,False,0,25,0,25,0,False,0,8,79,17,2,False,0,0,0,0,0,False,0,0,0,22,0,False,0,0,0,0,0,False,0,0,33,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,35,0,0,0,False,0,0,0,0,0,False,0,23,0,0,0,False,0,48,0,0,0,False,0,46,23,0,0,False,0,3,66,14,3,False,0,0,0,0,31,False,0,0,20,40,0,False,0,0,0,0,0,False,0,0,50,0,34,False,0,0,35,0,0,False,0,0,0,False
2007-01-12,0,0,0,0,0,False,0,0,0,0,0,False,0,0,16,0,0,False,0,26,0,0,0,False,0,0,0,0,53,False,0,0,0,0,0,False,0,5,39,18,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,34,False,0,0,0,0,0,False,0,0,0,False,74,0,0,0,0,False,38,0,0,0,0,False,58,0,0,0,0,False,4,27,0,0,0,False,42,0,0,42,42,False,26,0,0,0,0,False,2,4,65,11,2,False,0,0,0,0,26,False,24,0,23,23,0,False,78,0,0,0,0,False,35,0,35,0,0,False,41,0,0,0,0,False,100,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,43,0,0,0,False,0,25,0,0,2,False,0,49,0,0,100,False,0,24,0,0,0,False,0,5,78,18,2,False,0,0,0,0,32,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,36,37,0,0,False,0,0,0,False
2007-01-13,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,32,0,0,0,False,0,0,0,0,0,False,0,32,0,0,0,False,0,2,56,17,2,False,0,0,0,0,35,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,59,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,16,0,0,0,False,0,60,0,0,0,False,0,37,0,37,0,False,0,6,73,13,5,False,0,0,0,0,0,False,0,0,33,0,0,False,0,0,0,0,0,False,0,0,50,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,52,0,0,0,False,0,0,0,0,0,False,0,8,0,0,0,False,0,0,0,0,0,False,0,34,0,0,0,False,0,3,81,12,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,50,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-14,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,11,0,0,0,False,0,83,0,83,0,False,0,0,0,34,0,False,0,3,52,21,3,False,0,0,0,0,36,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,17,0,0,6,False,0,0,0,0,0,False,0,74,0,37,0,False,0,7,65,17,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,50,50,50,False,0,59,58,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,13,0,0,0,False,0,75,0,0,0,False,0,0,36,0,0,False,0,4,70,14,7,False,0,0,0,0,0,False,0,0,31,31,0,False,0,0,0,0,0,False,0,0,53,0,0,False,0,0,55,0,0,False,0,0,0,False
2007-01-15,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,22,0,0,4,False,0,0,0,0,0,False,0,0,0,0,0,False,0,6,39,10,5,False,0,0,0,0,0,False,0,0,25,0,25,False,0,0,0,0,0,False,0,0,35,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,27,0,4,4,False,0,0,0,0,0,False,0,0,0,0,0,False,0,8,69,14,0,False,0,0,0,0,0,False,0,0,0,24,0,False,0,0,0,0,0,False,0,0,47,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,44,0,0,False,0,22,0,0,0,False,0,0,0,0,0,False,0,24,24,0,0,False,0,6,68,21,2,False,0,0,0,0,32,False,0,0,0,63,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-16,0,0,0,0,0,False,0,34,0,0,0,False,0,0,0,0,0,False,0,22,0,0,6,False,0,0,0,0,0,False,0,0,0,0,0,False,0,3,64,13,3,False,0,0,0,0,21,False,0,0,0,23,0,False,0,0,0,0,0,False,0,0,61,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,52,False,0,29,0,0,3,False,0,0,0,0,0,False,0,23,0,0,0,False,0,5,74,16,3,False,0,0,0,0,0,False,0,0,43,65,0,False,0,0,0,0,0,False,0,0,0,0,32,False,0,0,37,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,42,False,0,21,0,0,0,False,0,0,0,0,48,False,0,22,0,22,0,False,0,7,81,14,2,False,0,0,0,0,0,False,0,0,0,0,20,False,0,0,0,0,0,False,0,0,0,33,0,False,0,0,35,0,0,False,0,0,0,False
2007-01-17,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,20,0,0,8,False,0,0,0,0,0,False,0,0,0,0,0,False,0,3,50,13,2,False,0,0,0,0,0,False,0,0,23,23,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,52,0,0,False,0,12,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,4,64,16,2,False,0,0,0,0,24,False,0,0,21,21,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,37,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,19,0,0,2,False,0,48,0,0,0,False,0,0,0,22,0,False,0,6,86,13,1,False,0,0,30,0,30,False,0,0,20,40,0,False,0,0,0,66,0,False,0,0,33,0,33,False,0,0,0,0,0,False,0,0,0,False
2007-01-18,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,32,0,0,4,False,0,0,0,0,0,False,0,20,0,0,0,False,0,4,47,11,3,False,0,0,0,21,0,False,0,0,0,67,0,False,0,0,0,0,0,False,0,0,31,0,0,False,0,0,36,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,18,0,0,0,False,0,0,0,0,38,False,0,24,0,24,0,False,0,6,56,21,2,False,0,0,0,24,25,False,0,0,43,22,0,False,0,0,0,0,0,False,0,0,63,32,0,False,0,0,38,0,0,False,0,0,0,False,0,0,0,0,0,False,0,35,0,0,0,False,0,0,0,0,0,False,0,27,0,0,3,False,0,0,0,0,48,False,0,23,0,23,0,False,0,7,72,15,2,False,0,0,30,30,31,False,0,0,40,40,20,False,0,0,0,0,0,False,0,0,0,33,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-19,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,34,0,0,4,False,0,51,0,0,0,False,0,43,22,0,0,False,0,5,48,11,2,False,0,0,0,0,0,False,0,0,0,24,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,36,0,0,0,False,0,0,55,0,0,False,0,24,0,0,4,False,0,0,0,0,0,False,0,0,0,0,0,False,0,8,76,15,2,False,0,0,0,0,26,False,0,0,23,23,0,False,0,0,0,0,0,False,0,0,33,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,44,0,44,False,0,22,0,0,0,False,0,0,0,0,49,False,0,35,0,0,0,False,0,8,70,11,4,False,0,0,0,0,31,False,0,0,0,0,20,False,0,0,67,0,0,False,0,0,0,0,0,False,0,0,36,0,0,False,0,0,0,False
2007-01-20,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,22,0,0,8,False,0,75,0,0,0,False,0,31,0,0,0,False,0,5,54,13,0,False,0,0,0,0,0,False,0,0,36,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,21,0,0,0,False,0,0,0,0,0,False,0,35,0,0,0,False,0,2,90,19,2,False,0,0,0,0,0,False,0,0,0,31,0,False,0,0,0,0,0,False,0,0,47,0,47,False,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,0,0,34,0,False,0,9,67,16,2,False,0,0,0,0,46,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,50,0,0,False,0,0,0,0,0,False,0,0,0,False
