,ozone,discover,clothes,ozone.1,headache,smoke,cough,chest pain,ozone.2,shoes,lung cancer,traffic,copd,ozone.3,code red,haze,shortness of breath,inhaler,ozone.4,air pollution,coughing,respiratory infection,smog,ozone.5,power plants,lung disease,arrhythmia,code orange,ozone.6,sulfate,no2,heart murmur,chest tightness,ozone.7,cardiovascular disease,irregular heartbeat,o3,snoring,ozone.8,tailpipe,organic carbon,nitrogen dioxide,rapid heart rate,ozone.9,asthma,rapid breathing,inhaler use,bronchitis,ozone.10,difficulty breathing,soot,throat irritation,chronic obstructive pulmonary disease,ozone.11,wheezing,air pollutant,wildfires,respiratory illness,ozone.12,premature death,bronchiolitis,black carbon,smoggy,ozone.13,asthma attack,particulate matter,pm2.5,air pollution alert,ozone.14,childhood asthma,elemental carbon,fine inhalable particles,fine particles,ozone.15,fine particulates,industrial pollution,lung irritation,n02,ozone.16,nitrogen oxides,oxides of nitrogen,traffic emission,particle pollution,ozone.17,particulate matter pollution,pediatric asthma,pm5,rapid pulse,ozone.18,traffic exposure
2008-12-21,0.0,29.0,62.0,0.0,37.0,28.0,47.0,19.0,0.0,88.0,0.0,15.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-20,8.0,16.0,59.0,17.0,44.0,87.0,87.0,18.0,3.0,79.0,6.0,12.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0
2008-12-19,0.0,21.0,43.0,0.0,24.0,18.0,36.0,0.0,0.0,70.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-18,5.0,32.0,32.0,11.0,22.0,27.0,11.0,11.0,2.0,66.0,4.0,23.0,0.0,20.0,39.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,59.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0
2008-12-17,0.0,33.0,38.0,0.0,0.0,37.0,16.0,0.0,0.0,85.0,2.0,26.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-16,5.0,11.0,45.0,10.0,30.0,10.0,25.0,15.0,2.0,68.0,2.0,10.0,2.0,18.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,36.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
2008-12-15,5.0,25.0,64.0,10.0,20.0,67.0,31.0,10.0,2.0,100.0,2.0,12.0,0.0,18.0,0.0,27.0,0.0,18.0,18.0,0.0,55.0,0.0,18.0,18.0,0.0,28.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,55.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
2008-12-14,7.0,34.0,34.0,17.0,33.0,50.0,0.0,17.0,3.0,95.0,6.0,10.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,30.0,59.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,91.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-13,7.0,32.0,79.0,16.0,32.0,80.0,40.0,0.0,3.0,87.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,28.0,29.0,0.0,0.0,28.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-12,7.0,17.0,63.0,16.0,55.0,27.0,22.0,11.0,3.0,74.0,2.0,31.0,0.0,39.0,20.0,0.0,0.0,0.0,29.0,0.0,20.0,20.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,39.0,0.0,0.0,0.0,39.0,0.0,20.0,20.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0
2008-12-11,5.0,27.0,46.0,10.0,10.0,41.0,20.0,0.0,2.0,60.0,2.0,28.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,37.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,37.0,0.0,0.0,37.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
2008-12-10,5.0,20.0,29.0,10.0,15.0,35.0,15.0,10.0,2.0,67.0,2.0,20.0,2.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,73.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
