date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2017-06-08,0,0,0,0,0,False,0,0,0,0,0,False,0,28,0,0,0,False,0,13,0,0,1,False,0,28,0,0,43,False,0,37,0,15,0,False,0,12,76,26,2,False,0,0,0,18,13,False,0,0,43,53,14,False,0,47,0,0,47,False,0,10,30,0,10,False,0,21,21,0,0,False,0,0,0,False
2017-06-09,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,14,0,0,1,False,0,29,0,0,30,False,0,15,15,53,0,False,0,12,80,24,1,False,0,0,28,0,23,False,0,0,30,37,0,False,0,0,0,0,0,False,0,0,32,11,10,False,0,0,76,0,0,False,0,0,0,False
2017-06-10,0,0,0,0,0,False,0,34,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False,0,0,0,0,33,False,0,34,17,17,0,False,0,11,85,26,1,False,0,0,21,0,31,False,0,0,22,17,0,False,0,0,0,0,0,False,0,12,41,0,0,False,0,24,24,0,0,False,0,0,0,False
2017-06-11,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,9,0,0,1,False,0,34,0,34,34,False,0,53,0,18,0,False,0,12,91,25,1,False,0,0,0,16,22,False,0,0,35,43,17,False,0,0,57,0,0,False,0,12,37,0,0,False,0,0,25,0,0,False,0,0,0,False
2017-06-12,0,0,0,0,0,False,0,19,0,0,0,False,0,0,28,0,0,False,0,14,0,0,1,False,0,28,0,28,28,False,0,43,43,21,0,False,0,11,82,22,2,False,0,0,9,9,22,False,0,0,38,35,28,False,0,0,46,0,0,False,0,0,30,20,10,False,0,20,41,0,0,False,0,0,0,False
2017-06-13,0,0,0,0,0,False,0,18,0,0,0,False,0,0,0,0,0,False,0,15,0,0,1,False,0,27,0,27,27,False,0,21,0,21,0,False,0,11,74,22,3,False,0,0,9,9,30,False,0,0,32,56,19,False,0,0,0,0,0,False,0,20,29,15,0,False,0,20,50,0,0,False,0,0,0,False
2017-06-14,0,0,0,0,0,False,0,19,0,0,0,False,0,28,0,0,28,False,0,10,0,0,2,False,0,28,0,28,0,False,0,29,0,21,0,False,0,10,72,22,2,False,0,0,9,9,31,False,0,0,42,42,28,False,0,46,0,0,46,False,0,0,40,0,0,False,0,20,31,0,0,False,0,0,0,False
2017-06-15,0,0,0,0,0,False,20,0,0,0,0,False,29,0,29,0,29,False,0,15,0,0,1,False,29,29,0,29,87,False,15,45,0,45,0,False,0,9,76,24,1,False,0,0,23,0,23,False,0,0,29,44,15,False,49,0,49,0,0,False,10,10,52,21,0,False,0,0,64,0,0,False,0,0,0,False
2017-06-16,0,0,0,0,0,False,0,20,0,0,0,False,0,29,29,0,0,False,0,12,0,0,1,False,0,0,0,0,58,False,0,23,0,30,0,False,0,12,86,28,1,False,0,0,0,18,37,False,0,0,39,25,29,False,0,0,48,0,0,False,0,0,31,16,21,False,0,0,32,0,0,False,0,0,0,False
2017-06-17,0,0,0,0,0,False,0,0,0,0,0,False,0,33,33,0,0,False,0,12,0,0,1,False,0,33,0,34,34,False,0,26,0,0,0,False,0,14,80,21,1,False,0,0,11,0,43,False,0,0,23,45,17,False,0,0,0,0,0,False,0,0,18,0,24,False,0,0,100,0,0,False,0,0,0,False
